Handle,Title,Variant Price,Collection,Type,Vendor,Variant Grams,Variant Weight Unit,Variant Inventory Qty,Status,Image Src,product.metafields.custom.band,Case Diameter (mm) 2,Dial Color 3,Gender 4,Lug Width 5,New 6,Movement 7,Caliber 8,Booklet 9,Collection 10,Tags,Body (HTML),product.metafields.custom.movement_value_1,product.metafields.custom.movement_value_2,product.metafields.custom.movement_value_3,product.metafields.custom.case_thickness_mm,product.metafields.custom.case_length_mm,product.metafields.custom.web_case_material,product.metafields.custom.web_strap,product.metafields.custom.web_water_resistance,product.metafields.custom.case_cross_reference,product.metafields.custom.feature_1,product.metafields.custom.feature_2,product.metafields.custom.feature_3,product.metafields.custom.feature_4,product.metafields.custom.feature_5
SNKM97,SNKM97,265,Recraft,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNKM97_1_e5f7bc08-2262-4cc0-a4cd-01a3d9530474.png?v=1757427945,Stainless Steel,43.5,Green,Men's,24,,Automatic,7S26,GSS01,Recraft,"Stainless Steel, 43.5, Green, Men's, 24, Automatic, 7S26, GSS01, Recraft","<p>Seiko Recraft Series. This automatic watch is powered by the movement of the wearer's wrist. Energy efficient movement with a power reserve of approximately 41 hours. The timepiece has a stainless steel case and bracelet. Features a green dial, day/date calendar and a screw down see-through case back. 50 meters water resistant.</p>",Caliber 7S26,"21,600 vibrations per hour",21 jewels,11.37,,Stainless steel case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",Recraft1,Automatic,Self-winding,Screwdown see-through caseback,Day/Date calendar,Gold highlights
SNKN37,SNKN37,235,Recraft,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNKN37_1_7cfce852-0ed7-4513-b848-9341e915c2e4.png?v=1757427946,Leather Strap,43.5,Blue,Men's,24,,Automatic,7S26,GSS01,Recraft,"Leather Strap, 43.5, Blue, Men's, 24, Automatic, 7S26, GSS01, Recraft","<p>Seiko RECRAFT Series. This casual self-winding automatic timepiece is designed with a square stainless steel case and brown leather band. The blue dial features day/date calendar, luminous hands and markers, and a screwdown see-through case back. 21 jewels. 50 meters water resistant.</p>",Caliber 7S26,"21,600 vibrations per hour",21 jewels,11.37,,Stainless steel case,Brown leather strap,"5 bar, 50 meters (165 feet)",Recraft1,Automatic,Self-winding,Day/Date calendar,Screwdown see-through caseback,
SNKP23,SNKP23,285,Recraft,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNKP23_1_242316f6-f625-4e9f-889b-af573997fa6d.png?v=1757427970,Stainless Steel,39.5,Blue,Men's,22,,Automatic,7S26,GSS01,Recraft,"Stainless Steel, 39.5, Blue, Men's, 22, Automatic, 7S26, GSS01, Recraft","<p>Seiko RECRAFT Series Automatic. This sophisticated men's watch is designed with a rectangular stainless steel case and bracelet, featuring a blue dial and day/date calendar with see-through caseback. Automatic movement allows self and automatic winding capabilities and features 21,600 vibrations per hour, with a power reserve of approximately 41 hours, as well as 21 jewels. 50M Water Resistant</p>",Caliber 7S26,"21,600 vibrations per hour",21 jewels,11.77,,Stainless steel case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",Recraft2,Automatic,Self-winding,Day/Date calendar,Screwdown see-through caseback,
SNKP27,SNKP27,285,Recraft,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SNKP27_1_a91ad7d3-d62b-4ae8-bfff-432804c4b409.png?v=1757427971,Leather Strap,39.5,Green,Men's,22,,Automatic,7S26,GSS01,Recraft,"Leather Strap, 39.5, Green, Men's, 22, Automatic, 7S26, GSS01, Recraft","<p>Seiko RECRAFT Series Automatic. This sophisticated men's watch is designed with a rectangular stainless steel case and brown leather strap, featuring a teal dial and day/date calendar with see-through caseback. Automatic movement allows self and automatic winding capabilities and features 21,600 vibrations per hour, with a power reserve of approximately 41 hours, as well as 21 jewels. 50M Water Resistant</p>",Caliber 7S26,"21,600 vibrations per hour",21 jewels,11.77,,Stainless steel case,Brown leather strap,"5 bar, 50 meters (165 feet)",Recraft2,Automatic,Self-winding,Day/Date calendar,Screwdown see-through caseback,Gold highlights
SRE003,SRE003,315,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRE003_1_1ac2ad95-5346-4fc3-8c21-3a94fa0f4a35.png?v=1757428211,Stainless Steel,28,Blue,Ladies,14,,Automatic,2R06,2R06,Seiko 5 Sports,"Stainless Steel, 28, Blue, Ladies, 14, Automatic, 2R06, 2R06, Seiko 5 Sports","<p>Seiko 5 Sports Collection. With street-smart design, this new, smaller Seiko 5 Sports timepiece offers an updated take on vintage styling for both durability and all-day versatility. Providing automatic technology that you control with every movement, this distinctive watch is powered by a 21-jewel movement that beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 40 hours and manual winding capability. Framed by a 60-minute track marked in five-minute increments, the navy blue sunray finish dial features a day/date calendar, and luminous hands and markers. Crafted of stainless steel, this effortlessly fashionable watch includes a screwdown caseback and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 2R06,"21,600 vibrations per hour",21 jewels,11.2,33.1,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",S5LDS,Seiko 5 Sports Collection,"Vintage, street-smart style in a new smaller case",Automatic with manual winding capability,Navy blue sunray finish dial,60-minute track marked in five-minute increments
SRE004,SRE004,365,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRE004_1_4411a11c-4a28-40a0-8361-052a83c7d7b7.png?v=1757428211,Stainless Steel,28,White,Ladies,14,,Automatic,2R06,2R06,Seiko 5 Sports,"Stainless Steel, 28, White, Ladies, 14, Automatic, 2R06, 2R06, Seiko 5 Sports","<p>Seiko 5 Sports Collection. With street-smart design, this new, smaller Seiko 5 Sports timepiece offers an updated take on vintage styling for both durability and all-day versatility. Providing automatic technology that you control with every movement, this distinctive watch is powered by a 21-jewel movement that beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 40 hours and manual winding capability. Framed by a 60-minute track marked in five-minute increments, the white sunray finish dial features a day/date calendar, and luminous hands and markers. Crafted of stainless steel in a two-tone finish, this effortlessly fashionable watch includes a screwdown caseback and tri-fold push button release clasp. 10 bar, 100M Water Resistant</p>",Caliber 2R06,"21,600 vibrations per hour",21 jewels,11.2,33.1,Two-tone stainless steel case,Two-tone stainless steel bracelet,"10 bar, 100 meters (330 feet)",S5LDS,Seiko 5 Sports Collection,"Vintage, street-smart style in a new smaller case",Automatic with manual winding capability,White sunray finish dial,60-minute track marked in five-minute increments
SRK047,SRK047,275,Essentials,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRK047_1.png?v=1757428213,Stainless Steel,39,Ivory,Men's,,,Quartz,6G28,GSS01,Essentials,"Stainless Steel, 39, Ivory, Men's, Quartz, 6G28, GSS01, Essentials","<p>From the Essentials Collection. Offering classic dress/sport designs, in two sizes to suit anyone's personal style, the Essentials Collection provides the ideal solution for everyday wear. Crafted of stainless steel with a scratch-resistant sapphire crystal, classic cabochon crown, and tri-fold push button release clasp this sophisticated design features an antique ivory dial with elegant Roman numerals, finely shaped hands and a seconds subdial. 5 bar, 50M Water Resistant</p>",Caliber 6G28,,,8,,Stainless steel case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",MEssential2,From the Essentials Collection,Antique ivory dial with Roman numerals,Seconds subdial,Cabochon crown,Tri-fold push button release clasp
SRK050,SRK050,265,Essentials,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRK050_1.png?v=1757428215,Leather Strap,39,White,Men's,,,Quartz,6G28,GSS01,Essentials,"Leather Strap, 39, White, Men's, Quartz, 6G28, GSS01, Essentials","<p>From the Essentials Collection. Offering classic dress/sport designs, in two sizes to suit anyone's personal style, the Essentials Collection provides the ideal solution for everyday wear. Crafted of stainless steel in rich gold finish, this sophisticated design features a white dial with elegant Roman numerals, finely shaped hands and a seconds subdial. Includes a brown leather strap, classic cabochon crown and a scratch-resistant sapphire crystal. 5 bar, 50M Water Resistant</p>",Caliber 6G28,,,8,,Stainless steel case with gold finish,Brown leather strap,"5 bar, 50 meters (165 feet)",MEssential2,From the Essentials Collection,White dial with Roman numerals,Seconds subdial,Cabochon crown,Quartz Movement
SRP839,SRP839,475,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRP839_1_c7724bb7-6b4b-43d2-ae06-6555bf16734a.png?v=1757428033,Stainless Steel,33.8,Pink,Ladies,17,new,Automatic,4R35,JSY4RCC2,Presage,"Stainless Steel, 33.8, Pink, Ladies, 17, new, Automatic, 4R35, JSY4RCC2, Presage","<p>From the Presage Cocktail Time Collection. Offering the finest in Japanese mechanical watchmaking, the Presage Collection blends precision technology with superior craftsmanship and design. Inspired by the delights of a cocktail bar, this sophisticated watch features a pressed pattern, gloss finish and date calendar pink dial with pressed pattern, gloss finish and date calendar. The 23-jewel movement, with manual and automatic winding capability, beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 41 hours. Crafted of stainless steel, this elegant timepiece includes a box-shaped crystal, screwdown see-through caseback, and double deployment clasp with push button release. 5 bar, 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.3,40.4,Stainless steel case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",Cocktail2,From the Presage Cocktail Time Collection,Fine mechanical watchmaking from Japan,Manual and automatic winding capabilities,Pink dial with pressed pattern and gloss finish,Date calendar
SRP841,SRP841,475,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRP841_1_8beb5d11-9d0e-4d22-9309-92f3b0836670.png?v=1757428038,Stainless Steel,33.8,Light Blue,Ladies,17,,Automatic,4R35,JSY4RCC2,Presage,"Stainless Steel, 33.8, Light Blue, Ladies, 17, Automatic, 4R35, JSY4RCC2, Presage","<p>From the Presage Cocktail Time Collection. Offering the finest in Japanese mechanical watchmaking, the Presage Collection blends precision technology with superior craftsmanship and design. Inspired by the delights of a cocktail bar, this sophisticated watch features an ice blue dial with pressed pattern, gloss finish and date calendar. The 23-jewel movement, with manual and automatic winding capability, beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 41 hours. Crafted of stainless steel, this elegant timepiece includes a box-shaped crystal, screwdown see-through caseback, and double deployment clasp with push button release. 5 bar, 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.3,40.4,Stainless steel case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",Cocktail2,From the Presage Cocktail Time Collection,Fine mechanical watchmaking from Japan,Manual and automatic winding capabilities,Ice blue dial with pressed pattern and gloss finish,Date calendar
SRPB41,SRPB41,475,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPB41_1_750a1bb3-6874-4c23-881a-41b0e2e469f7.png?v=1757427975,Stainless Steel,40.5,Blue,Men's,20,,Automatic,4R35,JSY4RCC2,Presage,"Stainless Steel, 40.5, Blue, Men's, 20, Automatic, 4R35, JSY4RCC2, Presage","<p>Seiko Presage Automatic. This refine men's watch is designed with a stainless steel case and bracelet. The dial features a blue deep, pressed pattern whose shimmering beauty is enhanced by seven layers of gloss finish and the clarity of the box-shaped crystals. The hands are delicately curved by skilled craftsmen and women to give the watch case a slimmer profile. When turning the uniquely shaped crown, you can feel the strong torque of the winding mechanism. Automatic movement allows self and automatic winding capabilities and features 21,600 vibrations per hour, with a power reserve of approximately 41 hours, as well as 23 jewels. 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.8,47.5,Stainless steel Case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",Cocktail1,Automatic,Manual and automatic winding capabilities,Date calendar,Dial with pressed pattern and gloss finish,Screwdown see-through caseback
SRPB43,SRPB43,450,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPB43_1_06f0c922-f01d-433e-bdec-3e066588520e.png?v=1757427976,Leather Strap,40.5,Light Blue,Men's,20,,Automatic,4R35,JSY4RCC2,Presage,"Leather Strap, 40.5, Light Blue, Men's, 20, Automatic, 4R35, JSY4RCC2, Presage","<p>Seiko Presage Automatic. This refine men's watch is designed with a stainless steel case and black leather strap. The dial features a light deep, pressed pattern whose shimmering beauty is enhanced by seven layers of gloss finish and the clarity of the box-shaped crystals. The hands are delicately curved by skilled craftsmen and women to give the watch case a slimmer profile. When turning the uniquely shaped crown, you can feel the strong torque of the winding mechanism. Automatic movement allows self and automatic winding capabilities and features 21,600 vibrations per hour, with a power reserve of approximately 41 hours, as well as 23 jewels. 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.8,47.5,Stainless steel Case,Black leather strap with contrast stitching,"5 bar, 50 meters (165 feet)",Cocktail1,Automatic,Manual and automatic winding capabilities,Date calendar,Dial with pressed pattern and gloss finish,Screwdown see-through caseback
